,video_id,answer,question,video_name,question_id,question_type
1,6513,couch,what are three people sitting on?,video6513,158581,14
2,6513,coversation,what is a family having?,video6513,158582,14
3,6513,music,what plays?,video6513,158583,14
4,6513,music,what is playing?,video6513,158584,14
5,6513,couch,what does the girl sing on?,video6513,158585,14
6,6513,feature,what is a music video doing?,video6513,158586,14
7,6513,sit,what are people doing?,video6513,158587,14
8,6513,sit,what are three people doing?,video6513,158588,14
9,6513,sit,what are three young people doing?,video6513,158589,14
10,6513,talk,what are two girls and a guy doing?,video6513,158590,14
11,6513,talk,what is young people doing?,video6513,158591,14
12,6513,family,what is having coversation?,video6513,158592,14
13,6513,camera,what does a woman sing to?,video6513,158593,14
14,6513,three,how many people are sitting on a couch?,video6513,158594,14
15,6513,song,what is a woman singing with others in the background?,video6513,158595,14
16,6513,couch,what are two girls and a guy talking on while music is playing?,video6513,158596,14
17,6513,couch,what are people sitting on arguing while music plays?,video6513,158597,14
18,6513,woman,who is singing a song with others in the background?,video6513,158598,14
19,6513,three,how many young people are sitting on a couch?,video6513,158599,14
20,6513,home,what made video of a popular song voiced over?,video6513,158600,14
21,6513,girl,who sings i wish that i could be like the cool kids?,video6513,158601,14
22,6513,couch,what are three young people sitting on?,video6513,158602,14
23,6513,background,what are other young people interacting with each other in?,video6513,158603,14
24,6513,woman,who sings to the camera?,video6513,158604,14
25,6513,lip,what then go outside to see the sunset?,video6513,158605,14
26,6513,girl,who sings on the couch?,video6513,158606,14
27,6514,snow,what does a person on a motorbike riding thru?,video6514,158607,3
28,6514,snow,what goes into a skier riding down a mountain?,video6514,158608,3
29,6514,someone,who is riding a bike on a narrow trail?,video6514,158609,3
30,6514,surfer,who is riding waves and a person on a dirt bike riding a trail?,video6514,158610,3
31,6514,guy,who is dirt biking?,video6514,158611,3
32,6514,surf,what is a girl doing?,video6514,158612,3
33,6514,skate,what is a woman doing?,video6514,158613,3
34,6514,bike,what is someone riding on a narrow trail?,video6514,158614,3
35,6514,bike,what is a guy riding on mountains?,video6514,158615,3
36,6514,extreme,what sports being showcased to techno music?,video6514,158616,3
37,6514,guy,who is riding a bike on mountains?,video6514,158617,3
38,6514,girl,who rides the wave?,video6514,158618,3
39,6514,music,what does extreme sport being showcased to?,video6514,158619,3
40,6514,ocean,what does a woman surf in?,video6514,158620,3
41,6514,woman,who surfing in the ocean?,video6514,158621,3
42,6514,wave,what a girl rides?,video6514,158622,3
43,6514,girl,who is surfing?,video6514,158623,3
44,6514,woman,who is skating in a sea water?,video6514,158624,3
45,6514,biking,what is a guy?,video6514,158625,3
46,6515,pepper,what does a man cut?,video6515,158626,17
47,6515,dish,what is a chef crushing garlic for?,video6515,158627,17
48,6515,cut,what is a male cook doing?,video6515,158628,17
49,6515,slouse,what is in a kitchen man in white clothes doing?,video6515,158629,17
50,6515,slouse,what is a man doing?,video6515,158630,17
51,6515,chop,what is man doing?,video6515,158631,17
52,6515,cut,what is the man in the chef uniform chops the vegetables on the doing?,video6515,158632,17
53,6515,narrate,what is a chef who doing?,video6515,158633,17
54,6515,dres,what is there is a man with white doing?,video6515,158634,17
55,6515,cut,what is a bald man cuts up peppers and garlic on a doing?,video6515,158635,17
56,6515,cut,what is a chef doing?,video6515,158636,17
57,6515,pepper,what does a chef shred?,video6515,158637,17
58,6515,chef,who is crushing garlic to prepare a dish?,video6515,158638,17
59,6515,kitchen,what is man in white clothes slicing the vegetables in?,video6515,158639,17
60,6515,man,who cuts something vegetable on the table?,video6515,158640,17
61,6515,chef,who cuts a bell pepper in half?,video6515,158641,17
62,6515,hand,what do a chef with white dress having knife in?,video6515,158642,17
63,6515,bald,who cuts up peppers and garlic on a cutting board?,video6515,158643,17
64,6515,chef,who crushes garlic cloves with the knife?,video6515,158644,17
65,6515,half,what does a chef cut a bell pepper in?,video6515,158645,17
66,6515,table,what does a man cut something vegetable on?,video6515,158646,17
67,6515,chef,who shreds a bell pepper?,video6515,158647,17
68,6515,man,who describes how to easily cut a bell pepper?,video6515,158648,17
69,6515,pepper,what does a chef cut in half?,video6515,158649,17
70,6515,chef,who is crushing garlic for his dish?,video6515,158650,17
71,6515,chef,who chops up red pepper in a real ice kitchen?,video6515,158651,17
72,6515,man,who cuts a bell pepper?,video6515,158652,17
73,6515,chef,who is cutting red peppers?,video6515,158653,17
74,6515,something,what does a man cut on the table?,video6515,158654,17
75,6515,knife,what do a chef with white dress having in his hand?,video6515,158655,17
76,6515,man,who describes he crushes garlic and describes how to crush a bell pepper?,video6515,158656,17
77,6515,chef,who is cutting red bell peppers?,video6515,158657,17
78,6515,knife,what does a chef crush garlic cloves with?,video6515,158658,17
79,6515,cook,who crushes peeled garlic?,video6515,158659,17
80,6515,garlic,what has a chef who is narrating his own cooking show managed to break open two cloves of on his cutting board?,video6515,158660,17
81,6516,man,who has scarring on his nose?,video6516,158661,12
82,6516,nose,what is a man with a swollen nose showing for documentation?,video6516,158662,12
83,6516,nose,what does a man s is shown before and after treatment?,video6516,158663,12
84,6516,man,what s large nose is shown before and after treatment?,video6516,158664,12
85,6516,show,what is video doing?,video6516,158665,12
86,6516,demonstrate,what is a video doing?,video6516,158666,12
87,6516,show,what is a man with a swollen nose doing?,video6516,158667,12
88,6516,scar,what is a man has doing?,video6516,158668,12
89,6516,documentation,what is a man with a swollen nose showing his nose for?,video6516,158669,12
90,6516,video,what face before and after treatment?,video6516,158670,12
91,6516,nose,what has a man scarring on?,video6516,158671,12
92,6517,movie,what does the epic voice describe?,video6517,158672,7
93,6517,voice,what describes the thor movie?,video6517,158673,7
94,6517,girl,who had a wacky sidekick?,video6517,158674,7
95,6517,talk,what are screen junkies doing?,video6517,158675,7
96,6517,amazement,what do a girl and man look at the sky in?,video6517,158676,7
97,6517,sky,what do a girl and man look at in amazement?,video6517,158677,7
98,6517,explain,what is a narrator doing?,video6517,158678,7
99,6517,display,what is a parody doing?,video6517,158679,7
100,6517,sidekick,who did the girl have?,video6517,158680,7
101,6517,person,who has fallen onto the hood of a car?,video6517,158681,7
102,6517,woman,who has a bunch of wacky sidekicks?,video6517,158682,7
103,6517,screen,who are talking about the second thor movie?,video6517,158683,7
104,6517,man,who coming out by seeing the woman?,video6517,158684,7
