,video_name,question,question_id,answer,video_id,question_type,a0,a1,a2,a3,a4
1,13884124143,how did the guy on the board managed to not fall off from the board at the start of the video,13884124143_CH_1,move left right to balance,13884124143,CH,jump,nod,push the chair away,playing the piano,move left right to balance
2,7093500213,what does the man in checkered do after walking onto the stage with microphone stands at the start,7093500213_TN_6,set up the stand,7093500213,TN,bow to people,set up the stand,take away the stand,takes out some paper,hands him a bottle
3,5465138661,why does the girl in jeans bend down at the start of the video,5465138661_CW_1,play with baby,5465138661,CW,dance move,prevent jeans from getting wet,tired of bouncing,play with baby,pick up snow
4,4254574573,why does the user touch the screen,4254574573_CW_2,to check the effects,4254574573,CW,it is a barrier,hand gesture for bear,typing,live webcam,to check the effects
5,2824180578,what does the man beside the orange sign do after a man walks in from the left in the middle,2824180578_TN_6,walks away,2824180578,TN,turn and stand,touch water,talk to the shirtless man,walks away,pat the man on his shoulder
6,2580553233,what did the man do after he sat up from the sofa,2580553233_TN_6,point microphone away,2580553233,TN,wave,happy,look around,get closer to baby,point microphone away
7,4458565343,why does the man in blue wear a cap,4458565343_CW_1,sunny,4458565343,CW,hug dog,expressive,sledding,sunny,looks cool
8,5597037980,why did the boy put the bottle in his mouth after taking it up from the table,5597037980_CW_2,to drink,5597037980,CW,make his hand wet,to drink,easier for him to drink,part of performance,to wipe his face
9,3060710599,why did the boy shake the plastic bag,3060710599_CW_1,remove the toy,3060710599,CW,remove the toy,play with the bag,clean it,check the bag,take his food out
10,3764313862,why did the baby lean on the sofa when he stood in the living room,3764313862_CW_0,cover his face,3764313862,CW,dancing,try to catch boy attention,look for him,cover his face,not to fall down
11,5942411333,what does the man in grey do after standing behind the people on stage,5942411333_TN_8,take photos,5942411333,TN,take photos,watch him,playing the ukelele,clap hands,hold poster
12,5596610883,why did the lady raise the keychain up after she took it out from the package,5596610883_CW_6,show to camera,5596610883,CW,to play again,to take other toy,finding something,wants to eat the cake,show to camera
13,8623311799,why is the lady in turquoise holding the handle on the seat before the end of the video,8623311799_CW_5,hold for balance,8623311799,CW,pick toy up from the floor,hold for balance,snatch something from girl,to get close to baby,can not walk properly
14,7095619943,what did the boy do after he clapped his hands,7095619943_TN_5,looked at his right,7095619943,TN,looks at the baby,hold man s hand,looked at his right,touch the cat,push away the toy
15,5358657883,what does the blonde girl do after running towards the people in costume,5358657883_TN_8,hug them,5358657883,TN,adjust their things,lie down,put down the souvenirs,hug them,went back to dance
16,5866354734,what does the girl do after picking up the toy at the start,5866354734_TN_10,give it to woman,5866354734,TN,clap and dance,eating something,start dancing,give it to woman,throw it
17,4888273655,why is the lady wearing shades,4888273655_CW_2,sunny weather,4888273655,CW,the baby s toy,direct attention,live webcam,grooving along with music,sunny weather
18,3332115271,how does the man in orange at the extreme end move his hands,3332115271_CH_8,clap,3332115271,CH,clap,cross one another,press the buttons,thick clothes,swing it by the tag
19,2432458239,why did the lady walk towards the waters,2432458239_CW_1,release crab into sea,2432458239,CW,careful not to fall,release crab into sea,to rhythm of music,adjusting something,get to other side
20,4063352694,how does the lady in black show affection to the baby at the end,4063352694_CH_3,hug the baby,4063352694,CH,big gesture,hand gestures,hug the baby,feed water and hug the doll,carry using left arm
21,9662978367,why did the kid keep looking down as he rode the bike,9662978367_CW_3,looking at the pedals,9662978367,CW,go across the pond,scared,practicing,looking at the pedals,lost his balance
22,5620721035,why did the boy lift his right leg at the start of the video,5620721035_CW_0,want to climb up sofa,5620721035,CW,performance,suck his thumb,pose,want to climb up sofa,want to jump around
23,3976362264,why does the child sit on a mat,3976362264_CW_0,play with toy,3976362264,CW,making her ready,learn to stand,play with toy,support,play with toys comfortably
24,6016490500,what did the girl in purple do after tying her shoes,6016490500_TN_6,look at camera,6016490500,TN,clasp her hands,put hand on table,look at camera,smile and look at man,shouts and scream
25,3564576864,why did the man in blue look towards the short haired lady in white while sitting at the table,3564576864_CW_6,talking to her,3564576864,CW,playing with the lady s hair,lady was throwing something,talking to her,dancing,playing together
26,6032430171,why did the man in cap look at the man in white as he guides the baby into walking,6032430171_CW_11,to see how they are doing,6032430171,CW,ready to catch the baby,lower the baby,watching over him,prevent falling off,to see how they are doing
27,6513201899,how does the woman in green interact with the child in red,6513201899_CH_2,talk and touch,6513201899,CH,blow onto him,hold the baby close,holding her head,talk and touch,angrily while yelling
28,3954996353,what does the man in red do before the man in white cut the ribbon,3954996353_TP_2,count down,3954996353,TP,jumps,take photo,follow her instructions to sit,count down,put pieces on the board
29,7824213108,why is the man pushing the green toy car,7824213108_CW_6,to make child happy,7824213108,CW,to make child happy,adjust keys,pretend to pump the tire,throw the ball,experienced driver
30,3058613626,why is the man with a red hat moving his body throughout the video,3058613626_CW_1,dancing to music,3058613626,CW,take photo of the interactions,parachuting,dancing to music,dropped item,shoot something
31,4654125833,why is the man wearing a ring on one of his fingers,4654125833_CW_5,he is married,4654125833,CW,catch fish,keep hands clean,protect from chemicals,support him,he is married
32,6894565761,what did the boy do before the girl reached her hand out in the middle of the video,6894565761_TP_9,scratch eyes,6894565761,TP,hand gesture,close eyes,lift the club up,sit on man and play toy,scratch eyes
33,3899884605,what does the lady in blue do with her hands after standing up for the second time,3899884605_TN_9,rub with mud,3899884605,TN,sit on stairs,stand still,move to man,put her hands up,rub with mud
34,4126506012,why are they looking at the tv while playing the guitar,4126506012_CW_1,follow beat on tv,4126506012,CW,wants to catch the mosquito,follow beat on tv,international news,music show playing,interested in advertisement
35,5498668540,how does the man interact with the tablet,5498668540_CH_5,touches it,5498668540,CH,hits it,pulls it,touches it,hugs it,sit on it
36,2885656050,what did the man do after he removed the brown sleeve from his bat,2885656050_TN_4,throw away,2885656050,TN,get closer to baby,pick up the ball,hit golf ball,throw away,pass to the boy wearing spectacles
