,video_id,answer,question,video_name,question_id,question_type
1,FRAMEQA1159,cookie,what is being placed in the white ice cream cone?,tumblr_no73q2fm0I1uuf348o1_250,27138,0
2,FRAMEQA9405,machine,where is the guy walking very funny?,tumblr_nedt1ck9181ttuja3o1_250,2853,3
3,FRAMEQA26835,two,how many people are sitting side by side in a bowling alley?,tumblr_ndkfsb1dgm1tbnwqmo1_400,61016,1
4,FRAMEQA3809,two,how many men are arguing next to the christmas tree?,tumblr_n9pn9xDm651ty4rvzo1_400,81281,1
5,FRAMEQA25615,glasses,what are some guys looking good and one of them is wearing?,tumblr_nkn62ijxc71sk927ro1_400,91125,0
6,FRAMEQA4460,black,what is the color of the shirt?,tumblr_nh7j4ud4Mb1u5xywco1_500,87751,2
7,FRAMEQA47608,tail,what is the white dog waving?,tumblr_nk5ddaL9zk1s28vxko1_400,43219,0
8,FRAMEQA31686,two,how many women are walking past the fiFRAMEQAlace?,tumblr_n9tuqn05ec1rd0civo1_400,59139,1
9,FRAMEQA10382,red,what is the color of the hair?,tumblr_nejfp1mhbL1thn4g2o1_100,1648,2
10,FRAMEQA51360,black,what is the color of the vests?,tumblr_nafbe4YHCY1tyuwrso1_500,101490,2
11,FRAMEQA31257,flowers,what is the young man delivering to a young lady?,tumblr_ni3n9mlV2T1rktfsqo1_250,38469,0
12,FRAMEQA25821,two,how many lovers is looking to each other and love is in the air?,tumblr_nmrqhx5WTR1u3bvteo1_r4_540,101942,1
13,FRAMEQA51329,two,how many men are sitting in the moving car?,tumblr_nevu1x7R4F1tzeksuo1_400,67414,1
14,FRAMEQA20508,laptop,what is the man talking on a headset and using?,tumblr_naibwo4B1j1royxsco1_500,60961,0
15,FRAMEQA49454,three,how many men are break dancing in synchronization?,tumblr_ncbfiuxAWU1se2adpo1_500,75141,1
16,FRAMEQA49494,white,what is the color of the shirt?,tumblr_npcm4bqF3X1shyw7fo1_400,46134,2
17,FRAMEQA14092,green,what is the color of the dress?,tumblr_nhdy8uJlce1rpfnrjo1_400,41932,2
18,FRAMEQA1500,green,what is the color of the spotlight?,tumblr_ncdihsdk1c1tzzks2o1_250,53195,2
19,FRAMEQA51544,black,what is the color of the jacket?,tumblr_nguhm8zAEm1qgyl50o1_400,72990,2
20,FRAMEQA35769,boat,where does the man start to move slowly across the lake?,tumblr_nr45p0uKof1uaugwlo1_250,31377,3
21,FRAMEQA43239,two,how many dogs are quietly lounging on the couch?,tumblr_neqoabbUAH1s9wp82o1_400,30264,1
22,FRAMEQA33270,white,what is the color of the puppy?,tumblr_nhve02JnVG1tjhld9o1_250,27694,2
23,FRAMEQA40083,black,what is the color of the hat?,tumblr_n8vfp7rK9g1riof1xo1_500,19920,2
24,FRAMEQA5173,blue,what is the color of the hat?,tumblr_n9cswzW8tA1t5ojzdo1_250,43794,2
25,FRAMEQA8273,two,how many teenagers is wearing white outfits are singing?,tumblr_nda84dI4On1t0ojyvo1_500,90101,1
