,video_id,answer,question,video_name,question_id,question_type
1,v_1QIUV7WYKXg,no,is the athlete wearing trousers,v_1QIUV7WYKXg,v_1QIUV7WYKXg_3,3
2,v_9eniCub7u60,yes,does the girl in black clothes have long hair,v_9eniCub7u60,v_9eniCub7u60_2,3
3,v_FADShG5lyB8,no,is the man wearing long sleeves,v_FADShG5lyB8,v_FADShG5lyB8_10,3
4,v_5k2Ot6-wOgc,no,is the man in black outdoors,v_5k2Ot6-wOgc,v_5k2Ot6-wOgc_3,3
5,v_mV07bEBkIcM,yes,is the person in white a man,v_mV07bEBkIcM,v_mV07bEBkIcM_7,3
6,v_X_K7Aa3Aa-E,no,is the person in white a man,v_X_K7Aa3Aa-E,v_X_K7Aa3Aa-E_3,3
7,v_X2toGKgWMpE,yes,is the person in white a man,v_X2toGKgWMpE,v_X2toGKgWMpE_2,3
8,v_98ukqD62X5s,yes,is the person in yellow clothes a man,v_98ukqD62X5s,v_98ukqD62X5s_2,3
9,v_4LF0hL-mgks,no,is the person first appears in the video outdoor,v_4LF0hL-mgks,v_4LF0hL-mgks_3,3
10,v_mUmSJps9WJI,yes,does the person in black have short hair,v_mUmSJps9WJI,v_mUmSJps9WJI_2,3
11,v_12Nafz_Yet4,yes,does the person in black have short hair,v_12Nafz_Yet4,v_12Nafz_Yet4_2,3
12,v_NvRH4SoF09c,yes,does the person in black have short hair,v_NvRH4SoF09c,v_NvRH4SoF09c_2,3
13,v_nhQTxZlzG1Q,no,does the person in black have short hair,v_nhQTxZlzG1Q,v_nhQTxZlzG1Q_3,3
14,v_A0b_pqaKCX8,no,does the person in black have short hair,v_A0b_pqaKCX8,v_A0b_pqaKCX8_3,3
15,v_CDecXoRSpIc,no,does the person in black t-shirt have long hair,v_CDecXoRSpIc,v_CDecXoRSpIc_3,3
16,v_Znb6Y9m_PsQ,no,is the person in black t-shirt plaing outdoors,v_Znb6Y9m_PsQ,v_Znb6Y9m_PsQ_3,3
17,v_Znb6Y9m_PsQ,yes,is the person in black t-shirt plaing outdoors,v_Znb6Y9m_PsQ,v_Znb6Y9m_PsQ_2,3
18,v_26U3SkeZU6M,yes,does the person in blue have short hair,v_26U3SkeZU6M,v_26U3SkeZU6M_2,3
19,v_vQ82ItCG1x4,yes,does the person in blue have short hair,v_vQ82ItCG1x4,v_vQ82ItCG1x4_2,3
20,v_-vY2uUmv6Dk,no,does the person in green have long hair,v_-vY2uUmv6Dk,v_-vY2uUmv6Dk_3,3
21,v_Y_nyVFn70Lk,yes,does the person in green have short hair,v_Y_nyVFn70Lk,v_Y_nyVFn70Lk_2,3
22,v_-vY2uUmv6Dk,yes,does the person in green have short hair,v_-vY2uUmv6Dk,v_-vY2uUmv6Dk_2,3
23,v_OlR9S70AA74,yes,does the person in green pants have short hair,v_OlR9S70AA74,v_OlR9S70AA74_2,3
24,v_aNsj5OrEGLY,no,is the person in the video wearing long sleeves,v_aNsj5OrEGLY,v_aNsj5OrEGLY_3,3
25,v_a2IvS0xbNGQ,no,does the person in orange clothes have long hair,v_a2IvS0xbNGQ,v_a2IvS0xbNGQ_3,3
26,v_gOnp3DZxeKU,yes,does the person in purple have short hair,v_gOnp3DZxeKU,v_gOnp3DZxeKU_8,3
27,v_nGKc2t-NMYc,no,does the person in purple have short hair,v_nGKc2t-NMYc,v_nGKc2t-NMYc_3,3
28,v_AguxVxEWEs0,no,does the person in white clothes have long hair,v_AguxVxEWEs0,v_AguxVxEWEs0_3,3
29,v_nYl_tYmijlM,no,does the person in white clothes have long hair,v_nYl_tYmijlM,v_nYl_tYmijlM_3,3
30,v_YMOYyt3kSOs,yes,does the person in white clothes have long hair,v_YMOYyt3kSOs,v_YMOYyt3kSOs_2,3
31,v_afMQA352X_A,no,is the person wearing white trouser,v_afMQA352X_A,v_afMQA352X_A_3,3
32,v_AguxVxEWEs0,yes,is the person in white clothes a man,v_AguxVxEWEs0,v_AguxVxEWEs0_2,3
33,v_vzUeFzhVYLg,yes,does the person in white clothes have short hair,v_vzUeFzhVYLg,v_vzUeFzhVYLg_2,3
34,v_N5Dt3ycaun4,yes,does the person in white clothes have short hair,v_N5Dt3ycaun4,v_N5Dt3ycaun4_2,3
35,v_30hcRe-5_3M,yes,does the person in white clothes have short hair,v_30hcRe-5_3M,v_30hcRe-5_3M_2,3
36,v_W2Mh01F3K5c,no,is the person in white wearing long sleeves,v_W2Mh01F3K5c,v_W2Mh01F3K5c_3,3
37,v_A8RQcVFtovg,no,is the person in white trouser a woman ,v_A8RQcVFtovg,v_A8RQcVFtovg_3,3
38,v_mxn6WcmdNpA,yes,does the person in yellow clothes have long hair,v_mxn6WcmdNpA,v_mxn6WcmdNpA_2,3
39,v_98ukqD62X5s,no,does the person in yellow clothes have long hair,v_98ukqD62X5s,v_98ukqD62X5s_3,3
40,v_mxn6WcmdNpA,no,does the person in yellow clothes have short hair,v_mxn6WcmdNpA,v_mxn6WcmdNpA_3,3
41,v__jV5sAOOHLk,yes,does the person in white clothes have long hair,v__jV5sAOOHLk,v__jV5sAOOHLk_7,3
