,video_name,frame_count,width,height,question,answer_number,question_id,question_type,a0,a1,a2,a3,a4,answer
0,4010069381,369,640,480,how do the two man play the instrument,0,40100693816,CH,roll the handle,tap their feet,strum the string,hit with sticks,pat with hand,roll the handle
1,4882821564,2697,640,480,why did the boy pick up one present from the group of them and move to the sofa,2,48828215641,CW,share with the girl,approach lady sitting there,unwrap it,playing with toy train,gesture something,unwrap it
2,2435100235,1906,640,480,how does the man cycling try to sell the watch to the man in the trishaw,2,24351002357,CH,give him catalogue,show him a video,show him the watch,dismount his bicycle,give him the watch strap,show him the watch
3,2834146886,1881,496,370,what does the white dog do after going to the cushion,2,28341468868,TN,drink again,shake its body,smells the black dog,wagging tail,touch lady in blue stripes,smells the black dog
4,8132842161,1105,640,360,why did the man in white hold tightly to the boy in white,3,81328421612,CW,forcing boy to look straight,dancing with boy,posing for camera,prevent falling off,boy keeps moving around,prevent falling off
5,4260763967,1017,640,480,why is the boy in yellow reaching out to things on the green mat,2,42607639674,CW,team uniform,watch something in the pool,assembling parts to build toy,keep his belonging,grab remote control,assembling parts to build toy
6,3462517143,722,640,480,why is the white dog walking around the green container,1,34625171432,CW,chasing,get drink,fashion for dogs,leading the way,excited,get drink
7,3441428429,2697,640,480,what does the female skater do after the male skater puts her back down on the ice,1,344142842910,TN,put hand in mouth,continue skating,jump,move her arms up and down,laugh and run forward,continue skating
8,6356067859,1070,640,480,what does the girl in white do after bending down in the middle,1,63560678596,TN,grab her,feed horse with grass,run towards the camera,umbrella,put her arms up,feed horse with grass
9,5026660202,2697,640,480,why are there high chairs on the stage,1,50266602028,CW,to place the microphones,for guitarists to sit comfortably,for audience to sit,to act as displays,to take up stage spaces,for guitarists to sit comfortably
10,9873067604,920,640,360,why did the boy in white sway his head around,2,98730676044,CW,he is looking through it,see where the ball is falling,talking,acting,moving with rhythm,talking
11,5735711594,589,272,480,how did the white dog respond to the brown dog when it attacks from its tail,1,57357115945,TC,follow it,hopped away,wagging,ready to run away,move his head,hopped away
12,9088819598,670,640,480,why does the baby keep the ball near his mouth in the beginning,1,90888195981,CW,take a photo,lick it,smelling the ball,blow it away,kiss it,lick it
13,5296635780,652,640,480,what does the man do after the lady appear to punch him and smiles,3,52966357807,TN,look at him,touch their chests,kick him,lean forward,sit back properly,lean forward
14,2614918961,1311,640,480,why does the baby turn around near the end of the video,1,26149189611,CW,yawning,sits down to play,to see the toy,move towards toy,curious,sits down to play
15,6201488511,2575,640,360,why did the lady put her hands over her eyes in the middle of the video,2,62014885115,CW,posing in the camera,adjust her hair,protection from sun,to wipe her eyes,cue woman to talk,protection from sun
16,2976913210,542,640,480,how did the man respond when he is stuck in the dirt,2,29769132106,TC,touched his head,pointing towards the jumping line,kept trying,prepare to swing again,looking at the floor,kept trying
17,2793260225,558,500,375,how did the lady and man on top try to keep their balance,1,27932602256,CH,hold the ropes tightly,held each other,walk side to side,hold ski stick,standing still,held each other
18,7508439506,765,640,480,why did the boy put his hands on the baby,0,75084395061,CW,play with baby,to give her food,play,support the baby,fall and pounce on the boy,play with baby
19,7508439506,765,640,480,where is this video taken,4,75084395064,DL,swimming pool,outdoor,field,desert,bed room,bed room
20,6136926089,1522,480,640,what does the baby do after letting go of the cart,1,61369260898,TN,open her eyes,move toward the slides,touch the toy,turn to his back,lean forward and put head down,move toward the slides
21,5987365500,714,480,640,why does the girl have her mouth close to the item,2,59873655001,CW,eat,looking around,tries to sing,smell,record,tries to sing
22,6329077812,1835,640,360,why is the lady holding the baby,4,63290778122,CW,to protect the baby,carry baby,adjust bottle,ease of carrying around,feed baby,feed baby
23,6018490041,825,640,480,what does the man in white do after moving forward at the start,2,60184900416,TN,sing,walk forward and observe,hit cans,clicks the picture,start dancing,hit cans
24,6793786769,1158,640,360,what is the person in black behind the boy doing as the boy plays with the train,1,67937867695,TC,playing with ball,watch,watching television,reading a book,sleeping,watch
25,3158022797,2697,640,480,why are the people synchronizing their moves,1,31580227972,CW,choreography,part of game,one direction only,move with the rhythm,moving to the rhythm,part of game
26,6582763207,696,640,360,why is the lady standing in the middle tapping on the instrument in the beginning,3,65827632072,CW,talking to girl,to get the baby s attention,talking to the crowd,playing it,dance move,playing it
27,7416295940,2388,640,384,what does the dog do after the baby touches and caresses the dog s back,1,74162959407,TN,smile and wants to pet it,backed away,get up and sniff boy,play with toy,feeding,backed away
28,3171006258,1099,640,480,why did the man remove one of his skates before standing up,4,31710062580,CW,counting beats,hit sofa,take something,pick it up,to get better balance,to get better balance
29,3943634344,629,640,360,what did the girl do after she finished reciting the pictures on the book,2,39436343444,TN,hug the girl,smile,stand up,continue tlaking,nod,stand up
30,8547321641,327,640,362,how many babies are in the video,4,85473216417,DC,kitchen,four,two,three,one,one
31,5840177726,377,640,480,how are the men positioned in the video,0,58401777263,DO,riding the cycle,half squat,sit on the sofa,skateboard,stand closely,riding the cycle
32,5833145209,510,640,480,why did the brown bird bend over into the water,0,58331452095,CW,drink water,look down,resting,to wet its head,peck fishes,drink water
33,5333075105,1168,640,480,why is the man on all fours as he travelled through the thick snow,1,533307510510,CW,look at the cameraman,snow too thick,trying to move forward,snow mountain,obstacles,snow too thick
34,3963997053,573,640,480,where is the performance taking place,4,39639970537,DL,on a stage,room,bar,restaurant,road,road
35,9082180631,406,640,360,why does the woman in green pants skate behind everyone else,0,90821806312,CW,supervise the children,singing,pass her something,waiting for the man,nervous,supervise the children
36,7533369046,803,640,360,where is this video taken,3,75333690465,DL,dining table,lake,construction site,house,playground,house
37,5679866364,750,640,480,how does the old man respond when the old woman turns to him at the beginning,1,56798663641,TC,walks away,talk,moves around,goes back in line,happy,talk
38,5116088152,1205,640,360,why did the baby put his other hand on the fruit after awhile of putting the fruit in his mouth,0,51160881521,CW,hold tight,chocolate stuck on his fingers,to be more comfortable,pull fruit out,to make it less messy,hold tight
39,4094488636,810,640,360,what does the brown dog do after stepping over the red strap near the start,1,40944886364,TN,mount the black dog,look around,looks at the camera,walks away,walk away,look around
40,7149153537,1384,640,360,why are the men holding the girls in the water,1,71491535370,CW,boy can not go into water himself,make sure baby do not drown,protect them,cooling,preparing to go swimming,make sure baby do not drown
41,3562017845,1200,640,428,how did the bird in the front get to the other side of the land,1,35620178457,CH,put its hand out,walking,fly on lady s arm,swim,jump,walking
42,6895608152,2178,640,360,why is the lady in white moving around the stage,3,68956081528,CW,performing for the crowd,performing,taking photos,dancing,visualize what she says,dancing
43,6265968082,1275,640,360,why is the man in jeans wearing a pair of sunglasses,4,62659680824,CW,prevent it from falling,protect eyes from sun,sunny,celebrate birthday,part of outfit,part of outfit
44,2984974097,899,500,375,how does the girl move forward,3,29849740975,CH,pushing the floor with her legs,climb,on scooter,pedal her bike,move handles,pedal her bike
45,3429509208,374,640,480,what did the baby do after he approached near the camera,2,34295092083,TN,move his legs,suck his thumb,raised his hand to take the camera,turn back to the toy,bored,raised his hand to take the camera
46,3550839192,1050,640,362,what did the baby hold onto,4,35508391925,DO,father,apple,toys,lady,pram table,pram table
47,3477387686,2034,640,480,what did the girl do after lifting the dog s ear in the middle of the video,3,34773876862,TN,starts to draw,look at the baby,push cheeks up,smile at the camera,wet the cloth,smile at the camera
48,6895608152,2178,640,360,what type of performance is occuring,0,68956081525,DO,ballet,introducing the hall,street performance,wedding,piano,ballet
49,2405940242,415,500,375,why is the lady in white wearing a helmet,1,24059402420,CW,experimenting with chemicals,safety,skiing,sunny,take photo,safety
50,7308042410,1019,640,1138,why is the girl bending forward at the beginning of the video,3,73080424103,CW,drag the red box,move skateboard,pick up toy,making pottery,singing to microphone,making pottery
51,7499763064,604,640,360,why did the man stretch his arm out to touch the rope in the middle,4,74997630645,CW,connect to boat,doing tricks,stabilise the rope,exercise,adjusting own harness,adjusting own harness
52,8740703217,602,640,360,what does the baby do after she stops waving her arm up and down,3,87407032171,TN,kiss baby cheeks,walk through her legs,smile,eat the food,bring book closer to baby,eat the food
53,3821781616,745,640,480,where is the man at,4,38217816165,DL,classroom,roadside,mountain,hallway,living room,living room
54,3943634344,629,640,360,how did the lady compliment the girl at the end of the video,3,39436343448,CH,kissed her head,pointing her finger,puts hand on the baby s head,claps,stand facing the man,claps
55,6329077812,1835,640,360,what did the lady do before wipping the baby s mouth,4,63290778127,TP,touch the baby again,turn away,adjusts the baby in grey,smiling,take napkin,take napkin
56,4815534482,2250,640,362,why did the boy shift around,4,48155344827,CW,sitting on a swing,looking for his toys,dancing,reaching for the horn,play around,play around
57,4584426085,2697,360,480,what did the lady do after grabbing the puppy the second time,1,45844260851,TN,walk across,dress the puppy,no,place paw on her palm,shift her weight,dress the puppy
58,4263096481,637,320,240,how does the man cut the fish first,4,42630964810,CH,cut the tail,cut the body,remove the fins,remove the scale,cut off the head,cut off the head
59,7533369046,803,640,360,what was the baby doing to the white box,3,75333690466,TC,drop it,sitting on the box,hitting the box,pulling the box,carry it to the side,pulling the box
60,4273039295,2214,640,360,why does the baby bend down near the tree,0,42730392954,CW,pick up snow ball,to move the bicycle,someone is calling her,crawling,play with ball,pick up snow ball
61,5902452647,812,640,480,why did the baby hold the ball and moving forward,3,59024526470,CW,give ball to lady,kick off the ground,to throw it,wants to play with girl,person inside is walking,wants to play with girl
62,3711681535,1070,640,480,why does the woman let go of the handle near the end,2,37116815351,CW,play with the baby,look at donkeys,to come down,play with the babies,watch somewhere,to come down
63,3066064005,819,640,480,why is the woman in purple holding on to a bunch of cutlery,0,30660640051,CW,distributing cutlery,cut cake,she just bought new cutlery,demostrating a cooking class,posing for camera,distributing cutlery
64,11871253306,1476,512,288,how did the men squat down on the floor in the beginning,2,118712533064,CW,hit floor with a toy,tie shoelace,passed ball to child,stumble with hands,kiss child,passed ball to child
65,8132842161,1105,640,360,why did the man in white shirt moved his lips,4,81328421619,CW,eating snacks,drinking water,performing,biting straw,talking,talking
66,3851961428,2062,640,480,how did the man on the most right reacted after the man in red showed him a hand gesture,1,385196142811,TN,adjust the rein,took off goggles,performed,grab his shoulders,excited,took off goggles
67,5256928210,606,640,360,what does the man do as the dog stood in front of him,4,52569282101,TC,walk towards the cameraman,bends down to hug dog,resting,jump over dog,pet its back,pet its back
68,4984331176,300,640,480,why are the people running,3,49843311761,CW,racing,catch ball,emergency escape,want to pass quickly,gate is closing,want to pass quickly
69,4822859674,861,640,480,why does the baby start climbing on the floor after walking for a while at the start of the video,3,48228596742,CW,air from balloon,to climb down the stairs,hit toys,fall over,to drink,fall over
70,4978714491,1200,640,480,why did both buses sudden start to drive off after they stopped for a while,4,49787144912,CW,dog moves away,people have gotten off bus,finished the drill,difference in ground levels,traffic signal turned green,traffic signal turned green
71,9293415110,2160,640,360,why are the people sitting behind while the girl is dancing,0,92934151102,CW,playing music,mimicking a dance,dancing with the girl,learn to dance,striking a pose,playing music
72,5445581571,964,640,360,what did the white dog do after he looked up,3,54455815712,TN,hit cans,yellow toy,walking,get up,smells the black dog,get up
73,3557498300,849,640,480,how does the boy in blue move around,3,35574983008,CH,sitting on grass,crawl forward,roll around,run,in his pram,run
74,6624174621,1212,640,480,what does the girl do as the lady is sitting in front of the cake,4,66241746210,TC,observing the baby,take it away,click the picture,feed baby with spoon,sit next to lady,sit next to lady
75,4942054721,645,640,360,how many goats can be spotted,0,49420547217,DC,eight,two,one,three,four,eight
76,9213637099,1539,640,360,how many people are involved,2,92136370996,DC,six,two,five,seven,one,five
77,9088819598,670,640,480,what does the baby do after the ball rolls to the crook of his arm,4,90888195985,TN,swings with the man,watch the ball,stretches his arms,throws it,move his body,move his body
78,8464056582,1340,640,360,what does the baby do as the dog walks away at the start,0,84640565825,TC,crawl to the dog,on the right,go towards the man,looking left and right,look at baby,crawl to the dog
79,9565310990,1066,640,360,what does the baby do after reaching the corner of the cloth,1,95653109907,TN,swing it around,touch the cloth,turn to his back,looks at the other side,walking,touch the cloth
80,5635265624,584,480,640,how does the lady show affection to the baby,0,56352656242,CH,pat head,move it towards the baby,kiss the baby,put baby on her lap,caress baby head,pat head
81,5833145209,510,640,480,why is there a puddle of water in the pot,3,58331452092,CW,cooking noodles,catch fishes,displaced water when they jump,for bird to drink,the boy spilled water,for bird to drink
82,5561024834,947,640,360,where is the boy hanging out,0,55610248345,DL,bedroom,by a stream,yard,in his backyard,coffee shop,bedroom
83,2830899473,429,640,480,why do the men have their hands around each other,0,28308994731,CW,show affection,uniform costume,prevent camera drop,coordinate their moves,lure the dog to jump,show affection
84,4279106208,559,640,360,why did the lady hold onto the child when going down the slide together,1,427910620810,CW,he slipped down,ensure child s safety,in case baby fall down,playing,keep baby afloat,ensure child s safety
85,8464056582,1340,640,360,what does the dog do after the baby sits down at the start,1,84640565824,TN,play with dog,sniff the babys head,love,move to the other side,happy,sniff the babys head
86,3711681535,1070,640,480,why does the woman swing her legs while swinging on the handle,4,37116815353,CW,very happy,seeking encouragement,move it backwards and forwards,singing,way of swinging,way of swinging
87,3121571439,1212,640,428,how does the man in black feel after the dance,0,31215714393,TN,happy,pick something up,look at the man in white,raise his eyebrows,continued,happy
88,9473479950,608,640,480,how did the lady ensure she does not dirty the floor while eating watermelon,2,94734799501,CH,tie it up,wear bib,bowl,wear vest,tie hair up,bowl
89,2821968703,900,320,240,why is the man leaning towards the back,4,28219687035,CW,supervising boy,play the piano,playing piano,it s sunny,balance better,balance better
90,7786283208,636,640,360,how does the girl in white move her legs in the middle,3,77862832085,CH,put the table,play with string,kick the boy,kick up in the air,kick away toy,kick up in the air
91,8064178441,2229,640,1138,what does the baby do after moving the penguin toy nearer to him near the end of the video,2,80641784417,TN,toy,poke dough,toss it away,moves it around,look at the camera,toss it away
92,4217422838,1261,640,480,what did the lady do after she closed the box in front of her at the beginning of the video,2,42174228384,TN,stand up,go to the adult,put the box aside,point at something,touch the child s head,put the box aside
93,2793806282,1925,320,240,what did the lady in blue do when she reached the stairs,1,279380628212,TC,put head on table,sit on stairs,goes to get food,move hands around,jump down stairs,sit on stairs
94,3524939594,436,320,240,how do the two men feel when they were moved backwards very quickly,3,35249395942,TC,sleepy,adorable,calmer and happier,thrilled,curious and happy,thrilled
95,4138579400,601,640,480,what did the boy do after touching his spectacles,2,41385794006,TN,look into camera,touch the cat,touch his hair,starts running with the trolley,play with toy,touch his hair
96,4273039295,2214,640,360,what does the woman in green beanie do after the child runs away for a while,1,42730392958,TN,follow girl,run and catch him,walk around,put hand on table,push the board away,run and catch him
97,2793260225,558,500,375,what were there two men wearing on their heads,4,27932602254,DO,flowers,streamers,bandages,ribbons,caps,caps
98,5328004991,788,640,480,how does the child react after the woman takes over the stirrer,3,53280049919,TN,turns around,push food back in the mouth,moves forward,wants it back,stand beside the car,wants it back
99,6160414832,1831,640,480,why is there a green mat on table,0,61604148327,CW,playing board game,cooking,cutting paper,cover food,eating,playing board game
100,2435633172,2293,500,375,what do the people do as the pig was scratching itself against the rock,0,24356331725,TC,take photos,playing,move ball towards it,sleeping,climb onto lap,take photos
101,8107573462,406,640,360,where is this place,2,81075734629,DL,bus terminal,theatre,snow field,park,waterfall,snow field
