,video_name,question,answer_number,question_id,question_type,a0,a1,a2,a3,answer
1,6H78U_11.1_19.6,Which object was tidied up by the person?,2,Interaction_T1_13,Interaction_T1,The closet/cabinet.,The blanket.,The clothes.,The table.,The clothes.
2,6H78U_15.6_22.7,Which object was tidied up by the person?,2,Interaction_T1_14,Interaction_T1,The blanket.,The table.,The clothes.,The closet/cabinet.,The clothes.
3,RNLTR_7.3_13.5,Which object was thrown by the person?,2,Interaction_T1_31,Interaction_T1,The pillow.,The bag.,The clothes.,The box.,The clothes.
4,RNLTR_11.6_16.4,Which object was put down by the person?,1,Interaction_T1_32,Interaction_T1,The food.,The shoe.,The blanket.,The sandwich.,The shoe.
5,VNQTH_2.7_9.2,Which object was tidied up by the person?,1,Interaction_T1_40,Interaction_T1,The broom.,The closet/cabinet.,The blanket.,The table.,The closet/cabinet.
6,Y79PC_16.9_22.6,Which object was thrown by the person?,3,Interaction_T1_43,Interaction_T1,The box.,The pillow.,The broom.,The clothes.,The clothes.
7,4GLAP_16.1_20.7,Which object was thrown by the person?,1,Interaction_T1_70,Interaction_T1,The food.,The shoe.,The pillow.,The towel.,The shoe.
8,4GLAP_15.7_21.4,Which object was put down by the person?,0,Interaction_T1_71,Interaction_T1,The paper/notebook.,The clothes.,The cup/glass/bottle.,The pillow.,The paper/notebook.
9,XO8NL_3.6_12.5,Which object was thrown by the person?,2,Interaction_T1_76,Interaction_T1,The shoe.,The clothes.,The pillow.,The food.,The pillow.
10,OY3LS_2.5_10.1,Which object was opened by the person?,0,Interaction_T1_78,Interaction_T1,The laptop.,The refrigerator.,The door.,The bag.,The laptop.
11,OY3LS_34.9_41.4,Which object was sat on by the person?,1,Interaction_T1_81,Interaction_T1,The bed.,The sofa/couch.,The table.,The floor.,The sofa/couch.
12,5T0NX_2.3_8,Which object was put down by the person?,0,Interaction_T1_95,Interaction_T1,The dish.,The clothes.,The laptop.,The food.,The dish.
13,RG0KS_0_7.6,Which object was tidied up by the person?,3,Interaction_T1_100,Interaction_T1,The table.,The towel.,The clothes.,The blanket.,The blanket.
14,RG0KS_17.4_27,Which object was put down by the person?,1,Interaction_T1_101,Interaction_T1,The cup/glass/bottle.,The box.,The clothes.,The bag.,The box.
15,N5PLR_1.6_10.6,Which object was taken by the person?,0,Interaction_T1_104,Interaction_T1,The clothes.,The cup/glass/bottle.,The sandwich.,The book.,The clothes.
16,N5PLR_5.2_10.4,Which object was thrown by the person?,0,Interaction_T1_106,Interaction_T1,The clothes.,The broom.,The bag.,The food.,The clothes.
17,8UCK1_8.7_13.9,Which object was closed by the person?,3,Interaction_T1_111,Interaction_T1,The refrigerator.,The door.,The box.,The closet/cabinet.,The closet/cabinet.
18,NUKJ0_19.4_26.6,Which object was closed by the person?,0,Interaction_T1_137,Interaction_T1,The book.,The laptop.,The box.,The closet/cabinet.,The book.
19,NUKJ0_11_17.6,Which object was taken by the person?,3,Interaction_T1_139,Interaction_T1,The laptop.,The dish.,The box.,The paper/notebook.,The paper/notebook.
20,XOOTA_0_6,Which object was lied on by the person?,2,Interaction_T1_147,Interaction_T1,The paper/notebook.,The sofa/couch.,The floor.,The bed.,The floor.
21,XOOTA_4.5_9,Which object was sat on by the person?,0,Interaction_T1_148,Interaction_T1,The floor.,The table.,The sofa/couch.,The bed.,The floor.
22,LBRYS_8.9_13.4,Which object was put down by the person?,2,Interaction_T1_171,Interaction_T1,The sandwich.,The bag.,The shoe.,The cup/glass/bottle.,The shoe.
23,LBRYS_12.3_16.8,Which object was put down by the person?,1,Interaction_T1_172,Interaction_T1,The box.,The shoe.,The clothes.,The cup/glass/bottle.,The shoe.
24,LBRYS_7.8_15.4,Which object was taken by the person?,2,Interaction_T1_173,Interaction_T1,The dish.,The paper/notebook.,The shoe.,The laptop.,The shoe.
