,video_id,answer,question,video_name,question_id,question_type
1,1201,someone,who pours liquid from a plastic container into a ziploc bag containing meat pieces?,bQJQGoJF7_k_162_169,1201_30933,0
2,1201,man,who pours a seasoning liquid from a plastic container over chicken pieces placed in a plastic pouch?,bQJQGoJF7_k_162_169,1201_30934,0
3,1201,person,who pours marinade in a bag of chicken?,bQJQGoJF7_k_162_169,1201_30935,0
4,1201,man,who pours sauce into a plastic bag full of meat?,bQJQGoJF7_k_162_169,1201_30936,0
5,1201,man,who is dumping marinade into a bag of meat?,bQJQGoJF7_k_162_169,1201_30937,0
6,1201,man,who is pouring marinade from a bowl into a bag?,bQJQGoJF7_k_162_169,1201_30938,0
7,1201,man,who poured the marinade on the chicken in the bag?,bQJQGoJF7_k_162_169,1201_30939,0
8,1201,cook,who pours marinade on slices of meat?,bQJQGoJF7_k_162_169,1201_30940,0
9,1201,man,who poured the sauce over the chicken in the bag?,bQJQGoJF7_k_162_169,1201_30941,0
10,1201,person,who is pouring sauce into a bag of meat?,bQJQGoJF7_k_162_169,1201_30942,0
11,1201,person,who is putting raw meat and marinade in a bag?,bQJQGoJF7_k_162_169,1201_30943,0
12,1201,seasoning,what does a man pour from a plastic container over chicken pieces placed in a plastic pouch?,bQJQGoJF7_k_162_169,1201_30944,0
13,1201,man,who puts some marinade sauce on meat?,bQJQGoJF7_k_162_169,1201_30945,0
14,1201,man,who is filling up a bag with meat?,bQJQGoJF7_k_162_169,1201_30946,0
15,1201,sauce,what does a man pour into a plastic bag full of meat?,bQJQGoJF7_k_162_169,1201_30947,0
16,1201,man,who is pouring marinade over the chicken?,bQJQGoJF7_k_162_169,1201_30948,0
17,1201,marinade,what does a cook pour on slices of meat?,bQJQGoJF7_k_162_169,1201_30949,0
18,1201,chicken,what did the man pour the marinade on in the bag?,bQJQGoJF7_k_162_169,1201_30950,0
19,1201,bag,what did the man pour the marinade on the chicken in?,bQJQGoJF7_k_162_169,1201_30951,0
20,1201,bag,what is a man pouring marinade from a bowl into?,bQJQGoJF7_k_162_169,1201_30952,0
21,1201,bowl,what is a man pouring marinade from into a bag?,bQJQGoJF7_k_162_169,1201_30953,0
22,1201,chicken,what did the man pour the sauce over in the bag?,bQJQGoJF7_k_162_169,1201_30954,0
23,1201,bag,what did the man pour the sauce over the chicken in?,bQJQGoJF7_k_162_169,1201_30955,0
24,1201,marinade,what is a man dumping into a bag of meat?,bQJQGoJF7_k_162_169,1201_30956,0
25,1201,sauce,what did the man pour over the chicken in the bag?,bQJQGoJF7_k_162_169,1201_30957,0
26,1201,marinade,what did the man pour on the chicken in the bag?,bQJQGoJF7_k_162_169,1201_30958,0
27,1201,marinade,what is a man pouring from a bowl into a bag?,bQJQGoJF7_k_162_169,1201_30959,0
28,1201,sauce,what is a person pouring into a bag of meat?,bQJQGoJF7_k_162_169,1201_30960,0
29,1201,meat,what does a man put some marinade sauce on?,bQJQGoJF7_k_162_169,1201_30961,0
30,1201,bag,what is a person putting raw meat and marinade in?,bQJQGoJF7_k_162_169,1201_30962,0
31,1201,marinade,what is the man pouring over the chicken?,bQJQGoJF7_k_162_169,1201_30963,0
32,1201,bag,what is a man filling up with meat?,bQJQGoJF7_k_162_169,1201_30964,0
33,1201,chicken,what is the man pouring marinade over?,bQJQGoJF7_k_162_169,1201_30965,0
34,1201,meat,what is a man filling up a bag with?,bQJQGoJF7_k_162_169,1201_30966,0
35,1201,man,who is adding oil to meat?,bQJQGoJF7_k_162_169,1201_30967,0
36,1201,marinade,what does a man put on meat?,bQJQGoJF7_k_162_169,1201_30968,0
37,1201,someone,who is marinating chicken?,bQJQGoJF7_k_162_169,1201_30969,0
38,1201,oil,what is a man adding to meat?,bQJQGoJF7_k_162_169,1201_30970,0
39,1201,man,who is packing a food?,bQJQGoJF7_k_162_169,1201_30971,0
40,1201,chicken,what is someone marinating?,bQJQGoJF7_k_162_169,1201_30972,0
41,1201,food,what is a man packing?,bQJQGoJF7_k_162_169,1201_30973,0
42,1201,fill,what is a man doing?,bQJQGoJF7_k_162_169,1201_30974,0
